# 7 lines comment #######################################################################################################################################
# CSV-file forked from https://github.com/ieg-dhr/bombers_baedeker/blob/d635654323c99c4540b390c0a5a39d4121760cc5/visualisation/coords_dariah_format.csv #
# to contribute valid geographic coordinates in decimal degrees and standard wkt-format                                                                 #
# cf. https://hackmd.io/@KaCeBe/qgis_csv_bombers_baedeker2                                                                                              #
# field types: fid:integer; Name:string, lat_gm:string, lon_gm:string, note:string; lat_dec:real; lon_dec:real; WKT:string                              #
# Some placenames and coordinate numbers have been corrected, cf. attribute comment on changes                                                          #
#########################################################################################################################################################
fid,Name,lat_gm,lon_gm,note,lat_dec,lon_dec,WKT
105,EMMERICH,51°50,6°51,,51.83,6.85,POINT (6.85 51.8333333333333)
106,EMSDETTEN,52°10,7°40,,52.17,7.67,POINT (7.66666666666667 52.1666666666667)
107,ERFURT,51°0,11°0,,51,11,POINT (11 51)
108,ERLANGEN,49°35,11°0,,49.58,11,POINT (11.0 49.5833333333333)
109,ESCHWEGE,51°10,10°0,,51.17,10,POINT (10.0 51.1666666666667)
110,ESCHWEILER,50°50,6°15,,50.83,6.25,POINT (6.25 50.8333333333333)
111,ESSEN,51°25,7°00,,51.42,7,POINT (7.0 51.4166666666667)
112,EUSKIRCHEN,50°40,6°50,,50.67,6.83,POINT (6.83333333333333 50.6666666666667)
113,FALKENSEE,52°35,13°5,,52.58,13.08,POINT (13.0833333333333 52.5833333333333)
114,FALKENSTEIN,50°30,12°20,,50.5,12.33,POINT (12.3333333333333 50.5)
115,FALLERSLEBEN,52°25,10°40,,52.42,10.67,POINT (10.6666666666667 52.4166666666667)
116,FERNDORF,50°55,8°0,,50.92,8,POINT (8.0 50.9166666666667)
117,FINKENHEERD,54°20,14°30,,54.33,14.5,POINT (14.5 54.3333333333333)
118,FINNENTROP,51°10,8°0,,51.17,8,POINT (8.0 51.1666666666667)
119,FINSTERWALDE,51°35,13°40,,51.58,13.67,POINT (13.6666666666667 51.5833333333333)
120,FLENSBURG,54°45,9°25,,54.75,9.42,POINT (9.41666666666667 54.75)
121,FORBACH, 48°40,08°23,,48.67,8.38,POINT (8.38333333333333 48.6666666666667)
122,FORST,51°45,14°40,,51.75,14.67,POINT (14.6666666666667 51.75)
123,FRANKENBERG,50°55,13°0,,50.92,13,POINT (13.0 50.9166666666667)
124,FRANKENTHAL,49°35,8°20,,49.58,8.33,POINT (8.33333333333333 49.5833333333333)
125,FRANKFURT-AM-MAIN,50°10,8°40,OCR issue,50.17,8.67,POINT (8.66666666666667 50.1666666666667)
126,FRANKFURT-ODER,50°20,14°30,OVR issue,50.33,14.5,POINT (14.5 50.3333333333333)
127,FRECHEN,50°55,6°50,,50.92,6.83,POINT (6.83333333333333 50.9166666666667)
